,country,index,onshore wacc,offshore wacc,solar pv wacc,Name,onshore wacc,offshore wacc,solar pv wacc
7,AO,8,0.11,0.122,0.1,Angola,11.0%,12.2%,10.0%
8,AR,9,0.138,0.15,0.138,Argentina,13.8%,15.0%,13.8%
10,AT,11,0.025,0.037,0.034,Austria,2.5%,3.7%,3.4%
11,AU,12,0.029,0.041,0.029,Australia,2.9%,4.1%,2.9%
18,BE,19,0.035,0.047,0.019,Belgium,3.5%,4.7%,1.9%
20,BG,21,0.04,0.052,0.048,Bulgaria,4.0%,5.2%,4.8%
29,BR,30,0.049,0.061,0.063,Brazil,4.9%,6.1%,6.3%
44,CL,45,0.045,0.057,0.035,Chile,4.5%,5.7%,3.5%
46,CN,47,0.025,0.037,0.025,China,2.5%,3.7%,2.5%
47,CO,48,0.056,0.068,0.056,Colombia,5.6%,6.8%,5.6%
53,CY,54,0.044,0.056,0.049,Cyprus,4.4%,5.6%,4.9%
54,CZ,55,0.05,0.062,0.04,Czechia,5.0%,6.2%,4.0%
55,DE,56,0.013,0.025,0.013,Germany,1.3%,2.5%,1.3%
56,DJ,57,,,,Djibouti,,,
57,DK,58,0.015,0.027,0.021,Denmark,1.5%,2.7%,2.1%
62,EE,63,0.051,0.063,0.051,Estonia,5.1%,6.3%,5.1%
63,EG,64,0.088,0.1,0.088,Egypt,8.8%,10.0%,8.8%
66,ES,67,0.031,0.043,0.036,Spain,3.1%,4.3%,3.6%
67,ET,68,0.056,0.068,0.084,Ethiopia,5.6%,6.8%,8.4%
68,FI,69,0.019,0.031,0.048,Finland,1.9%,3.1%,4.8%
73,FR,74,0.018,0.03,0.018,France,1.8%,3.0%,1.8%
75,GB,76,0.026,0.038,0.02,UK,2.6%,3.8%,2.0%
87,GR,88,0.041,0.053,0.041,Greece,4.1%,5.3%,4.1%
96,HR,97,0.051,0.063,0.053,Croatia,5.1%,6.3%,5.3%
98,HU,99,0.037,0.049,0.037,Hungary,3.7%,4.9%,3.7%
99,ID,100,0.06,0.072,0.06,Indonesia,6.0%,7.2%,6.0%
100,IE,101,0.028,0.04,0.055,Ireland,2.8%,4.0%,5.5%
103,IN,104,0.059,0.071,0.059,India,5.9%,7.1%,5.9%
108,IT,109,0.033,0.045,0.031,Italy,3.3%,4.5%,3.1%
113,KE,114,0.056,0.068,0.084,Kenya,5.6%,6.8%,8.4%
131,LT,132,0.026,0.038,0.057,Lithuania,2.6%,3.8%,5.7%
132,LU,133,0.031,0.043,0.031,Luxembourg,3.1%,4.3%,3.1%
133,LV,134,0.055,0.067,0.055,Latvia,5.5%,6.7%,5.5%
135,MA,136,0.061,0.073,0.067,Morocco,6.1%,7.3%,6.7%
149,MR,150,,,,Mauritania,,,
151,MT,152,0.047,0.059,0.018,Malta,4.7%,5.9%,1.8%
158,,159,0.069,0.081,0.042,Nambia,6.9%,8.1%,4.2%
162,NG,163,0.11,0.122,0.1,Nigeria,11.0%,12.2%,10.0%
164,NL,165,0.025,0.037,0.014,Netherlands (the),2.5%,3.7%,1.4%
170,OM,171,0.04,0.052,0.04,Oman,4.0%,5.2%,4.0%
177,PL,178,0.033,0.045,0.039,Poland,3.3%,4.5%,3.9%
182,PT,183,0.032,0.044,0.042,Portugal,3.2%,4.4%,4.2%
187,RO,188,0.057,0.069,0.051,Romania,5.7%,6.9%,5.1%
195,SE,196,0.035,0.047,0.032,Sweden,3.5%,4.7%,3.2%
198,SI,199,0.055,0.067,0.042,Slovenia,5.5%,6.7%,4.2%
200,SK,201,0.052,0.064,0.038,Slovakia,5.2%,6.4%,3.8%
231,US,232,0.03,0.042,0.043,USA,3.0%,4.2%,4.3%
247,ZA,248,0.066,0.078,0.052,South Africa,6.6%,7.8%,5.2%
